iter	Logloss
0	0.6789025906
1	0.6660781294
2	0.6545552525
3	0.6434710338
4	0.6319254768
5	0.6217698974
6	0.6118478529
7	0.6028742149
8	0.5942831358
9	0.586547618
10	0.5755481422
11	0.5619813816
12	0.5495664099
13	0.5384473579
14	0.5273760268
15	0.5171438725
16	0.5090590337
17	0.500791652
18	0.4932064301
19	0.4850088211
20	0.4776095681
21	0.4700812654
22	0.4632064668
23	0.4569087965
24	0.4516218161
25	0.4459507087
26	0.4400256633
27	0.4343885753
28	0.4289541079
29	0.4244097167
30	0.4192612954
31	0.4147838216
32	0.4108755082
33	0.4069898194
34	0.3966412966
35	0.3883505972
36	0.3796749336
37	0.3773430215
38	0.3679839973
39	0.3630413027
40	0.35777863
41	0.3503855291
42	0.3433749605
43	0.3386361222
44	0.3324330397
45	0.3260411087
46	0.3245210858
47	0.3200709613
48	0.3151660274
49	0.3110065617
50	0.3081997447
51	0.3045244648
52	0.3026416078
53	0.2986669071
54	0.2942288601
55	0.2911462954
56	0.2884626513
57	0.2846278121
58	0.2819143033
59	0.279762942
60	0.2767505646
61	0.2745847752
62	0.2724521888
63	0.2697195622
64	0.2668193369
65	0.2653965598
66	0.2632295868
67	0.2617815875
68	0.2603965153
69	0.2583957161
70	0.2564745195
71	0.2551606439
72	0.2535567387
73	0.2523839599
74	0.2510974145
75	0.249838932
76	0.2472090357
77	0.244456468
78	0.2429366273
79	0.2409718523
80	0.2398369494
81	0.237808817
82	0.2368561267
83	0.2355323984
84	0.2346718286
85	0.2333393405
86	0.2317940063
87	0.229538975
88	0.2288409956
89	0.2278373518
90	0.2258979694
91	0.2243782829
92	0.223294237
93	0.2218274188
94	0.2209246523
95	0.2194287442
96	0.218687176
97	0.2180322342
98	0.2171199442
99	0.2158088861
100	0.2147654346
101	0.2140365491
102	0.2116924641
103	0.2105734537
104	0.2100833725
105	0.2091786119
106	0.2081721257
107	0.2077637453
108	0.2060590814
109	0.2049180964
110	0.2038615983
111	0.2029208338
112	0.2020150281
113	0.2012644913
114	0.2007464128
115	0.1998500763
116	0.1988805278
117	0.1979310333
118	0.1972361236
119	0.1964299361
120	0.1954986742
121	0.1947397482
122	0.1942014685
123	0.1934071178
124	0.1928919763
125	0.1918045044
126	0.1909945074
127	0.1901397928
128	0.1892609442
129	0.1886224087
130	0.1879002465
131	0.1873157674
132	0.1865150501
133	0.1856974802
134	0.1849840599
135	0.1842022028
136	0.1833459095
137	0.182672916
138	0.1816832806
139	0.1809991506
140	0.1796892745
141	0.1789930842
142	0.1782614593
143	0.1777149266
144	0.1770128807
145	0.1764871832
146	0.1759045665
147	0.1750121513
148	0.1740115916
149	0.1734293708
150	0.1726993164
151	0.1718639431
152	0.1712793611
153	0.1706934271
154	0.170283451
155	0.1698036791
156	0.1687302386
157	0.1680075906
158	0.1668277273
159	0.1660403715
160	0.1654720277
161	0.1649699745
162	0.1645200229
163	0.163739414
164	0.1631414722
165	0.162603402
166	0.1619678988
167	0.1613826096
168	0.1607516603
169	0.1603000991
170	0.159720364
171	0.1590167017
172	0.1585702335
173	0.1580213271
174	0.1572506938
175	0.1564078917
176	0.1557599724
177	0.1553213038
178	0.1550264052
179	0.1544978713
180	0.1539569711
181	0.1533192284
182	0.1526988467
183	0.1521492821
184	0.1514319063
185	0.1510504384
186	0.1497178665
187	0.1492211917
188	0.1485180337
189	0.1479449512
190	0.147306659
191	0.1469188351
192	0.1462490375
193	0.1459227988
194	0.1450066121
195	0.1441983055
196	0.1430372734
197	0.1426837399
198	0.142131671
199	0.1418363145
200	0.1410895892
201	0.14046683
202	0.1396664845
203	0.1393758929
204	0.1390144083
205	0.1386020501
206	0.1382133142
207	0.1373564374
208	0.1367213463
209	0.1356133532
210	0.1350989682
211	0.1346042078
212	0.1343360789
213	0.1337248587
214	0.1332302979
215	0.1328369667
216	0.1324436184
217	0.1321536452
218	0.1317670091
219	0.1314953118
220	0.131025404
221	0.1305863254
222	0.1298999626
223	0.1293055381
224	0.1289019534
225	0.128149973
226	0.1272457206
227	0.1269225262
228	0.1262711062
229	0.1252686961
230	0.1248827734
231	0.1242838879
232	0.1238670177
233	0.1235512085
234	0.1226905202
235	0.1217692241
236	0.1216189549
237	0.1212223955
238	0.1209658202
239	0.1187983873
240	0.1178198961
241	0.1171113841
242	0.1169414338
243	0.1162278853
244	0.1159294122
245	0.1157605292
246	0.1151301709
247	0.1136824842
248	0.1134719584
249	0.1132299384
250	0.1128773464
251	0.1126511924
252	0.1122929034
253	0.1116564326
254	0.1112609898
255	0.1110089131
256	0.11069224
257	0.1102680052
258	0.1096406419
259	0.1090214828
260	0.1083900544
261	0.1080602456
262	0.1075430462
263	0.107139412
264	0.1069640785
265	0.1064727299
266	0.1048674532
267	0.104402358
268	0.1040756914
269	0.103802247
270	0.1036046406
271	0.1031556137
272	0.1025229868
273	0.1018777055
274	0.1016083689
275	0.1012883071
276	0.1002077849
277	0.0999937821
278	0.09976555447
279	0.09932000762
280	0.09888779017
281	0.09859895418
282	0.09794986706
283	0.09738318136
284	0.09708185381
285	0.09690419446
286	0.09637096393
287	0.0961048322
288	0.09589960932
289	0.09555641092
290	0.09531081521
291	0.09502992184
292	0.0947950687
293	0.09449776193
294	0.09333161085
295	0.09299740451
296	0.09255933173
297	0.09224818976
298	0.09193590946
299	0.09166996886
300	0.09148792281
301	0.0912219974
302	0.0907846396
303	0.0906289856
304	0.09048193312
305	0.09021076644
306	0.09002372618
307	0.089706349
308	0.0882981144
309	0.08817979189
310	0.08769652886
311	0.08672268314
312	0.08620307325
313	0.08588467862
314	0.08552935005
315	0.08533180232
316	0.08493279921
317	0.08460197218
318	0.08420400759
319	0.08389749322
320	0.08354370699
321	0.08326301067
322	0.08304272605
323	0.08267371561
324	0.08228553083
325	0.08218246257
326	0.08192540219
327	0.0817087275
328	0.0814582792
329	0.08124418674
330	0.08111962595
331	0.08088431512
332	0.08075187196
333	0.08041215455
334	0.07985135371
335	0.07929979981
336	0.07894359323
337	0.07872198158
338	0.07841695979
339	0.07815946863
340	0.07717897643
341	0.07705377348
342	0.07671967637
343	0.07643825346
344	0.07612935715
345	0.07591612297
346	0.07516194218
347	0.07499387386
348	0.07482258667
349	0.07425749352
350	0.0740118223
351	0.07356620385
352	0.07323096655
353	0.07312127606
354	0.07287650305
355	0.07265698419
356	0.07249022765
357	0.07239261055
358	0.07220540856
359	0.07180137168
360	0.07169238453
361	0.07153079962
362	0.07129249959
363	0.07102796485
364	0.07083865095
365	0.07053418559
366	0.07017840634
367	0.06995197696
368	0.06975601771
369	0.06945849215
370	0.06917313318
371	0.0690273481
372	0.0688680322
373	0.0685718075
374	0.06847541433
375	0.0683718539
376	0.06810075109
377	0.06807021251
378	0.06798309078
379	0.06789659728
380	0.06780267684
381	0.0675786699
382	0.0672990846
383	0.06707824446
384	0.06692573506
385	0.06683702493
386	0.06664971491
387	0.06659414419
388	0.06646924034
389	0.06635434853
390	0.06619427951
391	0.06597026427
392	0.06567004741
393	0.06551989439
394	0.0652557823
395	0.06503853935
396	0.06480960496
397	0.06479263384
398	0.06471694226
399	0.06458093902
400	0.06443592722
401	0.0641818568
402	0.06407036384
403	0.06373558204
404	0.06358739621
405	0.06340722847
406	0.06322996191
407	0.06309019018
408	0.06289245074
409	0.06274182375
410	0.06264639809
411	0.0624903534
412	0.06225839395
413	0.06211117939
414	0.06199162296
415	0.06188427703
416	0.06164487966
417	0.06123015497
418	0.06106664709
419	0.06084152301
420	0.06072981526
421	0.06067367547
422	0.06056889136
423	0.06047505362
424	0.06038760856
425	0.06027097292
426	0.0601583508
427	0.06000183159
428	0.05994315465
429	0.05984035253
430	0.05969886459
431	0.05951689521
432	0.05946329965
433	0.05938686322
434	0.05920502867
435	0.05913973427
436	0.05913869227
437	0.05899696519
438	0.05880174563
439	0.05866411192
440	0.05851745435
441	0.05848645181
442	0.05832406194
443	0.05810454724
444	0.0579439099
445	0.05786616826
446	0.05773975583
447	0.05772049929
448	0.0575396552
449	0.05742993325
450	0.05729696177
451	0.05710357149
452	0.05696630289
453	0.05693280607
454	0.05688711212
455	0.05665790165
456	0.05655930754
457	0.05650919413
458	0.05619017566
459	0.05604548978
460	0.0560017583
461	0.05598541586
462	0.05571634387
463	0.05556475485
464	0.0555457744
465	0.05544405849
466	0.05532078597
467	0.0551671406
468	0.05501792061
469	0.05481799579
470	0.05469081853
471	0.05461956228
472	0.05447927186
473	0.05435886961
474	0.05430208338
475	0.05419145998
476	0.05411889819
477	0.0539555689
478	0.05390822144
479	0.0537391037
480	0.05355733612
481	0.05346176935
482	0.05337998691
483	0.05322974747
484	0.05320094514
485	0.05309172766
486	0.05302963129
487	0.05288584505
488	0.05279557992
489	0.05270153416
490	0.05239606744
491	0.05218304741
492	0.05203340975
493	0.05203250433
494	0.05186721397
495	0.05182798085
496	0.05171035024
497	0.05154684707
498	0.05128477108
499	0.05111044089
500	0.05094853908
501	0.05070959821
502	0.05063845811
503	0.05044017934
504	0.05030245741
505	0.05024078606
506	0.05010867515
507	0.04981485918
508	0.0497879832
509	0.04945470346
510	0.04930523591
511	0.04925486739
512	0.04913974396
513	0.04905526494
514	0.04901316604
515	0.04890618618
516	0.04885201881
517	0.04882075356
518	0.0487350084
519	0.04863874805
520	0.0486352193
521	0.04853060504
522	0.04852771858
523	0.04828391208
524	0.04827097836
525	0.04805415511
526	0.04775608493
527	0.04764286159
528	0.04756478397
529	0.0475329878
530	0.04752980887
531	0.04739262836
532	0.04721029105
533	0.04693959827
534	0.04687569262
535	0.04677888428
536	0.04652494921
537	0.04644447933
538	0.04620112466
539	0.04610389514
540	0.04590451078
541	0.04581618568
542	0.04566823563
543	0.0455759753
544	0.04549618077
545	0.04546776421
546	0.04535427257
547	0.04525556425
548	0.04517066179
549	0.04509131913
550	0.04494494342
551	0.04473543773
552	0.0446661661
553	0.04458163993
554	0.04455562608
555	0.0445395829
556	0.04441793093
557	0.04433663409
558	0.04424433656
559	0.04420930232
560	0.04404660277
561	0.04386708453
562	0.04371967962
563	0.04369627043
564	0.04362444799
565	0.04356273757
566	0.04345002151
567	0.04331655186
568	0.04326980861
569	0.04319250771
570	0.04319249941
571	0.04306835443
572	0.04297192837
573	0.04290449097
574	0.042763471
575	0.04260874603
576	0.04260277071
577	0.04252106061
578	0.04244752912
579	0.04242124685
580	0.04223045424
581	0.04213443994
582	0.04207555379
583	0.04207186161
584	0.04198105447
585	0.04187246972
586	0.0417430534
587	0.04154811419
588	0.04146530158
589	0.04140532037
590	0.04138088914
591	0.04125734412
592	0.04117302796
593	0.04117302304
594	0.04111599899
595	0.0410918223
596	0.04105735461
597	0.04102669546
598	0.04088849227
599	0.0408396889
600	0.04081076377
601	0.04071458079
602	0.04068895361
603	0.04060617153
604	0.04056639154
605	0.04048161411
606	0.04041108563
607	0.04026381656
608	0.0401206404
609	0.04010047398
610	0.04006111156
611	0.03994468125
612	0.03989181383
613	0.03988149839
614	0.03980760389
615	0.03974393733
616	0.03968071467
617	0.03967595219
618	0.03960695232
619	0.03955531584
620	0.03952247967
621	0.03949867957
622	0.03925939792
623	0.03919253476
624	0.0391527568
625	0.0390563502
626	0.0389328943
627	0.03893253027
628	0.03888734443
629	0.03887191184
630	0.03883575334
631	0.03877209355
632	0.0387543163
633	0.03867504039
634	0.03861939102
635	0.03854759955
636	0.0384542055
637	0.03838641414
638	0.03836920962
639	0.03832643633
640	0.03823832087
641	0.03816657633
642	0.0381014148
643	0.03803710785
644	0.03803313911
645	0.03798279057
646	0.03795894582
647	0.03788603301
648	0.03776114377
649	0.03760131358
650	0.03753909468
651	0.03746217553
652	0.03736279503
653	0.03727441887
654	0.03714734121
655	0.03698930647
656	0.03696740503
657	0.03684451062
658	0.03675908216
659	0.03671929251
660	0.03667598536
661	0.03665124989
662	0.03656844704
663	0.03651364106
664	0.0364768424
665	0.0364525696
666	0.03645030306
667	0.03643045465
668	0.03641504124
669	0.03636267889
670	0.03631585118
671	0.0362888711
672	0.03624401027
673	0.03613299683
674	0.03603340084
675	0.03597325762
676	0.03593646004
677	0.03587525629
678	0.03585211551
679	0.03581783267
680	0.03571401793
681	0.03560988472
682	0.03558520732
683	0.03555457263
684	0.03553513655
685	0.03553166133
686	0.03549943604
687	0.03529222734
688	0.03528347749
689	0.03519094627
690	0.03518175695
691	0.03498910062
692	0.03487884198
693	0.03481671404
694	0.03477645055
695	0.03465620352
696	0.03461383518
697	0.0345558465
698	0.03453333319
699	0.03452009206
700	0.03451818198
701	0.03449791241
702	0.03449064589
703	0.03438455293
704	0.03437913011
705	0.03434620299
706	0.03428665703
707	0.03412074521
708	0.03409966144
