iter	Passed	Remaining
0	447	671031
1	763	571919
2	1074	536381
3	1363	509863
4	1670	499595
5	2110	525635
6	2444	521341
7	2739	510854
8	3045	504543
9	3323	495140
10	3643	493187
11	3946	489305
12	4271	488648
13	4586	486847
14	4881	483294
15	5084	471564
16	5304	462777
17	5515	454133
18	5746	447907
19	6035	446637
20	6326	445585
21	6617	444547
22	6949	446302
23	7244	445555
24	7558	445930
25	7902	448038
26	8196	447178
27	8487	446201
28	8765	444630
29	8965	439309
30	9154	433811
31	9385	430546
32	9659	429424
33	9964	429625
34	10282	430380
35	10605	431279
36	10912	431466
37	11133	428357
38	11315	423898
39	11583	422799
40	11855	421873
41	12143	421546
42	12421	420879
43	12728	421184
44	13043	421750
45	13362	422364
46	13676	422808
47	13980	422915
48	14258	422234
49	14465	419513
50	14674	416924
51	14976	417028
52	15265	416773
53	15537	416046
54	15816	415532
55	16114	415511
56	16378	414633
57	16659	414180
58	16954	414087
59	17250	414015
60	17540	413778
61	17831	413578
62	18103	412922
63	18381	412429
64	18658	411925
65	18961	411978
66	19258	411901
67	19558	411875
68	19857	411820
69	20146	411567
70	20427	411129
71	20723	411013
72	21002	410554
73	21294	410348
74	21574	409918
75	21854	409484
76	22108	408580
77	22369	407814
78	22654	407499
79	22948	407340
80	23240	407140
81	23531	406914
82	23812	406530
83	24109	406412
84	24321	404887
85	24605	404563
86	24891	404280
87	25181	404054
88	25479	403944
89	25772	403767
90	26059	403497
91	26359	403412
92	26647	403147
93	26941	402972
94	27228	402694
95	27529	402612
96	27828	402511
97	28078	401699
98	28319	400769
99	28604	400464
100	28885	400101
101	29185	400013
102	29477	399807
103	29781	399764
104	30080	399644
105	30495	401046
106	30779	400710
107	30987	399395
108	31210	398287
109	31591	399204
110	31933	399596
111	32145	398377
112	32358	397176
113	32643	396875
114	32954	396891
115	33248	396687
116	33531	396356
117	33836	396291
118	34121	395984
119	34401	395619
120	34691	395368
121	34990	395221
122	35276	394919
123	35575	394773
124	35892	394821
125	36240	395188
126	36509	394709
127	36732	393726
128	36937	392566
129	37161	391627
130	37402	390866
131	37697	390679
132	37996	390534
133	38298	390415
134	38579	390083
135	38876	389905
136	39159	389592
137	39459	389452
138	39747	389179
139	40041	388973
140	40353	388943
141	40643	388692
142	40919	388307
143	41210	388066
144	41496	387778
145	41792	387579
146	42080	387308
147	42366	387024
148	42651	386727
149	42934	386406
150	43238	386281
151	43558	386298
152	43850	386058
153	44156	385937
154	44444	385663
155	44735	385411
156	44977	384741
157	45193	383858
158	45478	383562
159	45768	383312
160	46057	383049
161	46371	382990
162	46667	382784
163	46952	382492
164	47225	382099
165	47514	381835
166	47802	381560
167	48096	381333
168	48371	380962
169	48662	380713
170	48975	380630
171	49266	380381
172	49564	380185
173	49857	379951
174	50170	379862
175	50476	379722
176	50756	379383
177	51022	378942
178	51231	378086
179	51525	377854
180	51823	377654
181	52105	377333
182	52412	377199
183	52735	377171
184	53039	377013
185	53371	377044
186	53690	376980
187	53980	376712
188	54183	375845
189	54392	375018
190	54617	374314
191	54920	374145
192	55216	373926
193	55515	373728
194	55789	373361
195	56070	373042
196	56361	372788
197	56649	372510
198	56942	372274
199	57236	372036
200	57521	371746
201	57818	371526
202	58104	371237
203	58377	370870
204	58664	370589
205	59075	371087
206	59399	371033
207	59679	370703
208	59961	370382
209	60252	370119
210	60543	369861
211	60833	369593
212	61134	369387
213	61410	369035
214	61613	368248
215	61881	367849
216	62173	367594
217	62443	367215
218	62738	366978
219	63016	366638
220	63297	366326
221	63582	366031
222	63868	365737
223	64148	365419
224	64438	365150
225	64710	364783
226	65027	364671
227	65308	364354
228	65601	364103
229	65906	363920
230	66174	363528
231	66397	362898
232	66680	362590
233	66976	362358
234	67255	362035
235	67538	361734
236	67861	361642
237	68149	361366
238	68431	361054
239	68725	360810
240	69010	360517
241	69298	360239
242	69591	359984
243	69884	359735
244	70176	359478
245	70460	359178
246	70749	358904
247	70984	358355
248	71259	358012
249	71544	357724
250	71830	357437
251	72057	356857
252	72352	356614
253	72657	356422
254	72979	356313
255	73208	355748
256	73496	355469
257	73782	355183
258	74080	354955
259	74350	354596
260	74635	354302
261	74926	354041
262	75189	353647
263	75469	353333
264	75782	353173
265	76021	352671
266	76278	352250
267	76561	351955
268	76859	351725
269	77149	351457
270	77363	350848
271	77646	350551
272	77918	350204
273	78208	349940
274	78467	349538
275	78742	349207
276	79021	348892
277	79268	348438
278	79542	348103
279	79835	347855
280	80113	347536
281	80402	347272
282	80684	346971
283	80979	346729
284	81259	346423
285	81465	345800
286	81837	345884
287	82116	345574
288	82387	345228
289	82735	345207
290	83055	345065
291	83499	345436
292	83786	345153
293	84074	344878
294	84416	344819
295	84693	344497
296	85015	344354
297	85247	343849
298	85556	343656
299	85844	343377
300	86094	342949
301	86427	342848
302	86688	342460
303	86990	342237
304	87240	341812
305	87666	342070
306	87967	341842
307	88311	341775
308	88571	341387
309	88853	341084
310	89134	340775
311	89379	340330
312	89688	340130
313	89912	339605
314	90196	339309
315	90501	339095
316	90805	338873
317	91110	338654
318	91432	338499
319	91664	338014
320	91890	337503
321	92128	337041
322	92470	336957
323	92779	336753
324	93106	336615
325	93369	336244
326	93590	335723
327	93826	335256
328	94131	335039
329	94466	334925
330	94790	334775
331	95015	334269
332	95239	333765
333	95530	333500
334	95890	333469
335	96193	333240
336	96454	332869
337	96728	332539
338	97002	332211
339	97324	332049
340	97630	331829
341	97982	331766
342	98254	331430
343	98475	330925
344	98756	330619
345	99058	330386
346	99360	330151
347	99662	329916
348	99891	329440
349	100126	328987
350	100446	328812
351	100751	328587
352	101042	328318
353	101274	327855
354	101547	327526
355	101849	327292
356	102168	327110
357	102433	326758
358	102692	326386
359	103007	326191
360	103246	325755
361	103544	325506
362	103839	325248
363	104124	324961
364	104422	324709
365	104724	324472
366	104990	324127
367	105258	323785
368	105535	323469
369	105820	323180
370	106105	322891
371	106387	322593
372	106677	322319
373	106963	322034
374	107256	321770
375	107529	321445
376	107812	321150
377	107977	320504
378	108168	319940
379	108453	319653
380	108737	319363
381	109042	319134
382	109340	318884
383	109638	318637
384	109915	318326
385	110218	318092
386	110517	317846
387	110793	317531
388	111078	317243
389	111352	316925
390	111642	316652
391	111911	316321
392	112114	315802
393	112390	315491
394	112680	315221
395	112949	314890
396	113230	314591
397	113503	314272
398	113782	313970
399	114069	313691
400	114354	313406
401	114645	313135
402	114942	312884
403	115230	312606
404	115538	312380
405	115844	312152
406	116129	311866
407	116353	311417
408	116641	311138
409	116941	310893
410	117229	310614
411	117518	310339
412	117802	310051
413	118106	309814
414	118401	309556
415	118682	309258
416	119036	309151
417	119319	308860
418	119613	308596
419	119882	308269
420	120172	307995
421	120429	307637
422	120740	307416
423	121016	307108
424	121321	306872
425	121606	306586
426	121905	306333
427	122180	306021
428	122447	305689
429	122735	305412
430	123010	305099
431	123280	304777
432	123538	304423
433	123824	304141
434	124102	303836
435	124378	303530
436	124516	302886
437	124808	302617
438	125125	302410
439	125418	302144
440	125717	301892
441	125967	301524
442	126204	301123
443	126492	300845
444	126759	300519
445	127046	300240
446	127329	299950
447	127585	299596
448	127879	299335
449	128157	299034
450	128432	298727
451	128731	298475
452	129032	298228
453	129303	297911
454	129572	297589
455	129860	297312
456	130135	297005
457	130411	296701
458	130697	296418
459	130985	296141
460	131215	295732
461	131488	295423
462	131785	295164
463	132072	294886
464	132345	294575
465	132650	294335
466	132925	294029
467	133210	293747
468	133486	293442
469	133787	293194
470	134067	292900
471	134268	292432
